STATION_ID,MMP_SITE_NAME,LONGITUDE,LATITUDE,LOGGER_SERIAL,SAMPLE_DAY,CHL_QA_AVG,NTU_QA_AVG
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-20,0.645,3.427
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-21,0.627,3.132
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-22,0.456,1.914
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-23,0.34,1.38
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-09-23,0.374,1.031
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-09-24,0.657,3.367
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-09-25,1.04,5.39
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-09-26,1.155,7.009
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-09-27,1.091,5.682
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-09-28,0.91,3.741
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-09-29,0.71,2.662
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-09-30,0.585,2.144
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-01,0.608,2.846
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-02,0.834,9.65
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-03,0.833,25.205
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-04,0.877,16.776
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-05,1.005,12.416
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-06,1.082,10.688
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-07,1.08,8.431
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-08,1.054,10.036
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-09,0.96,18.951
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-10,0.949,17.627
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-11,0.992,11.581
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-12,1.084,7.958
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-13,0.887,3.906
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-14,0.715,3.276
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-15,0.702,5.009
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-16,0.901,7.255
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-17,0.927,8.93
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-18,0.91,9.23
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-19,1.035,7.424
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-20,0.981,5.717
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-21,0.84,4.619
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-22,0.631,2.491
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-23,0.554,1.458
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-24,0.62,1.229
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-25,1.199,2.868
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-26,0.95,3.243
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-27,0.908,2.477
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-28,0.887,2.116
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-29,0.93,1.794
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-30,1.043,2.566
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-10-31,1.064,3.278
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-01,1.027,3.984
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-02,0.599,1.893
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-03,0.266,0.968
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-04,0.286,0.845
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-05,0.284,0.811
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-06,0.305,0.694
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-07,0.227,0.578
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-08,0.192,0.554
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-09,0.279,0.953
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-10,0.817,3.17
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-11,0.864,2.573
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-12,0.953,3.776
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-13,0.898,2.616
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-14,0.726,1.692
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-15,0.675,1.227
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-16,0.298,0.701
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,818,2015-11-17,0.559,2.371
